S. No,date,day,month,year,zipcode,city,county,state,n_victims,latitude,longitude,incident_id,count,zip_3digit,Control Zip Codes
1,9/1/2021,9,1,2021,60615,Chicago,Cook County,IL,5,41.803699,-87.5853,2021IL19,1,606,"""752"", ""191"", ""021"", ""282"", ""850"", ""900"", ""554"", ""482"", ""100"""
2,16-03-2021,16,3,2021,30324,Atlanta,Fulton County,GA,8,33.809556,-84.3662,2021GA316,1,303,"""752"", ""282"", ""336"", ""770"", ""631"", ""322"", ""328"", ""641"""
3,22-03-2021,22,3,2021,80305,Boulder,Boulder County,CO,10,39.983634,-105.252,2021CO322,1,803,"""921"", ""787"", ""900"", ""850"", ""752"", ""21"", ""972"", ""981"""
4,31-03-2021,31,3,2021,92865,Orange,Orange County,CA,4,33.83523,-117.854,2021CA331,1,928,
5,15-04-2021,15,4,2021,46217,Indianapolis,Marion County,IN,8,39.63752,-86.1667,2021IN415,1,462,"""402"", ""452"", ""372"", ""641"", ""631"", ""432"", ""441"", ""752"", ""532"", ""731"""
6,26-05-2021,26,5,2021,95110,San Jose,Santa Clara County,CA,9,37.35412,-121.909,2021CA526,1,951,"""941"", ""981"", ""200"", ""21"", ""921"", ""787"", ""100"", ""900"", ""276"""
7,30-11-2021,30,11,2021,48371,Oxford,Oakland County,MI,4,42.840331,-83.2632,2021MI1130,1,483,
8,27-12-2021,27,12,2021,80203,Denver,Denver County,CO,5,39.717678,-104.988,2021CO1227,1,802,"""752"", ""850"", ""787"", ""900"", ""641"", ""336"", ""972"", ""328"""
9,14-05-2022,14,5,2022,14208,Buffalo,Erie County,NY,10,42.909757,-78.853,2022NY514,1,142,"""146"", ""029"", ""132"", ""152"", ""061"", ""322"", ""336"", ""641"",""191"""
10,24-05-2022,24,5,2022,78801,Uvalde,Uvalde County,TX,21,29.19926,-99.788,2022TX524,1,788,
11,1/6/2022,1,6,2022,74136,Tulsa,Tulsa County,OK,4,36.072814,-95.9176,2022OK61,1,741,"""731"", ""672"", ""402"", ""641"", ""352"", ""782"", ""722"", ""631"", ""374"", ""701"""
12,4/7/2022,4,7,2022,60035,Highland Park,Lake County,IL,7,42.185853,-87.7992,2022IL74,1,600,
13,13-10-2022,13,10,2022,27604,Raleigh,Wake County,NC,5,35.812595,-78.5355,2022NC1013,1,276,"""282"", ""733"", ""752"", ""021"", ""336"", ""191"", ""232"", ""277"""
14,19-11-2022,19,11,2022,80917,Colorado Springs,El Paso County,CO,5,38.880978,-104.758,2022CO1119,1,809,"""212"", ""850"", ""234"", ""782"", ""681"", ""336"", ""752"""
15,22-11-2022,22,11,2022,23320,Chesapeake,City of Chesapeake,VA,6,36.772622,-76.2513,2022VA1122,1,233,
16,21-01-2023,21,1,2023,91754,Monterey Park,Los Angeles County,CA,11,34.062567,-118.124,2023CA121,1,917,
17,23-01-2023,23,1,2023,94019,Half Moon Bay,San Mateo County,CA,7,37.469297,-122.42,2023CA123,1,940,
18,27-03-2023,27,3,2023,37215,Nashville,Davidson County,TN,6,36.093314,-86.8252,2023TN327,1,372,"""641"", ""752"", ""322"", ""452"", ""336"", ""631"", ""782"""
19,10/4/2023,10,4,2023,40202,Louisville,Jefferson County,KY,5,38.256257,-85.7461,2023KY410,1,402,"""641"", ""452"", ""381"", ""631"", ""731"", ""374"", ""782"", ""352"""
20,6/5/2023,6,5,2023,75013,Allen,Collin County,TX,8,33.132682,-96.6621,2023TX56,1,750,
21,3/7/2023,3,7,2023,19143,Philadelphia,Philadelphia County,PA,5,39.93864,-75.2297,2023PA73,1,191,"""021"", ""100"", ""061"", ""152"", ""336"", ""752"", ""212"", ""282"""
22,15-07-2023,15,7,2023,30228,Hampton,Henry County,GA,4,33.3871,-84.283,2023GA715,1,302,
23,25-10-2023,25,10,2023,4240,Lewiston,Androscoggin County,ME,18,44.095108,-70.2155,2023ME1025,1,42,"""044"", ""041"", ""011"", ""029"", ""468"", ""185"", ""226"", ""054"", ""016"", ""240"""
